Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality,Acres_seeded
Barley,Sandy,6.75,19.75184841,80,2.682682555,50,40,30,58.93979634,35,43
Soybean,Peaty,5.5,16.11039451,80,7.696070494,49.5,45,38.5,32.97041272,22.16666667,53
Corn,Clay,6.25,15.98430618,80,10.65591495,72,55,40,51.65627328,48.70833333,92
Corn,Peaty,5.5,13.50496325,80,15.38284253,66,49.5,35,22.32512664,25.08333333,66
Barley,Loamy,6.5,18.71855642,80,12.11494393,70,60,50,81.29906552,60,69
Soybean,Clay,6.25,17.50724166,80,13.47455996,54,50,44,54.1328665,43.16666667,72
Corn,Sandy,6.75,22.01979369,77.98020631,7.461948951,60,44,30,46.61625956,39.08333333,3
Corn,Clay,6.25,13.38969242,80,12.44055165,72,55,40,23.57909666,48.70833333,74
Barley,Loamy,6.5,17.50798183,80,8.195808263,70,60,50,61.85110776,60,22
Soybean,Loamy,6.5,17.60970783,80,10.89095402,63,60,55,69.42289756,59.33333333,3
Rice,Loamy,6.5,15.06500946,80,14.36060223,91,72,55,0.689849442,72.66666667,4
Soybean,Peaty,5.5,15.20990032,80,9.588184549,49.5,45,38.5,27.37261607,22.16666667,92
Corn,Clay,6.25,17.33858539,80,10.91334736,72,55,40,59.710619,48.70833333,7
Barley,Peaty,5.5,11.56412412,80,5.318328783,55,45,35,10.13581832,22.5,85
Soybean,Loamy,6.5,26.57329283,73.42670717,4.398204422,63,60,55,31.90696772,59.33333333,74
Corn,Sandy,6.75,11.61292166,80,8.997258727,60,44,30,9.93993691,39.08333333,10
Rice,Loamy,6.5,17.50713379,80,13.18191574,91,72,55,25.49960002,72.66666667,31
Barley,Peaty,5.5,10.65957887,80,10.8429756,55,45,35,3.339937412,22.5,9
Corn,Sandy,6.75,18.95296995,80,9.022080577,60,44,30,75.52870067,39.08333333,44
Rice,Sandy,6.75,18.40976486,80,9.06919973,65,48,33,24.41326635,42.58333333,54
Barley,Peaty,5.5,14.34928473,80,15.73695292,55,45,35,25.98794451,22.5,26
Corn,Clay,6.25,22.8501614,77.1498386,7.826998614,72,55,40,46.07741079,48.70833333,89
Barley,Sandy,6.75,10.86384528,80,6.687334634,50,40,30,5.298909847,35,62
Corn,Loamy,6.5,11.14397269,80,11.02526793,84,66,50,13.58601513,66.66666667,20
Barley,Loamy,6.5,12.98222522,80,12.22588905,70,60,50,30.80338267,60,36
Corn,Sandy,6.75,19.46412682,80,16.18224377,60,44,30,70.81319427,39.08333333,35
Barley,Loamy,6.5,19.38912584,80,10.70039739,70,60,50,91.28471531,60,44
Soybean,Clay,6.25,20.29212243,79.70787757,4.723781541,54,50,44,60.17106836,43.16666667,43
Corn,Clay,6.25,13.40319996,80,5.903005641,72,55,40,28.35676472,48.70833333,72
Soybean,Clay,6.25,17.57294495,80,13.61390522,54,50,44,57.77022609,43.16666667,13
Barley,Loamy,6.5,22.91019091,77.08980909,5.430771283,70,60,50,56.5605192,60,72
Soybean,Peaty,5.5,19.63088774,80,15.72824992,49.5,45,38.5,44.0705768,22.16666667,80
Soybean,Loamy,6.5,17.88536064,80,9.390863842,63,60,55,72.78440062,59.33333333,41
Barley,Loamy,6.5,15.27459649,80,3.132816229,70,60,50,54.27155613,60,82
Corn,Loamy,6.5,12.6320561,80,14.15770996,84,66,50,28.97526049,66.66666667,68
Rice,Peaty,5.5,18.59049274,80,14.70278326,71.5,54,38.5,20.77951962,27.33333333,25
Barley,Clay,6.25,11.59869206,80,10.54159253,60,50,40,14.40188901,43.75,62
Soybean,Sandy,6.75,19.33924518,80,7.190457948,45,40,33,47.76340486,34.41666667,27
Corn,Loamy,6.5,18.87736286,80,6.623742977,84,66,50,87.45057605,66.66666667,96
Barley,Loamy,6.5,18.48103182,80,6.948423488,70,60,50,80.27298638,60,94
